gregorian_date,hijri_date,hijri_day,hijri_month_number,hijri_month_en,hijri_month_ar,hijri_year,hijri_weekday_en,hijri_weekday_ar,hijri_designation,holidays
16-10-0622,01-04-1,1,4,Rabīʿ al-thānī,رَبيع الثاني,1,Al Arba'a,الاربعاء,AH,
17-10-0622,02-04-1,2,4,Rabīʿ al-thānī,رَبيع الثاني,1,Al Khamees,الخميس,AH,
18-10-0622,03-04-1,3,4,Rabīʿ al-thānī,رَبيع الثاني,1,Al Juma'a,الجمعة,AH,
19-10-0622,04-04-1,4,4,Rabīʿ al-thānī,رَبيع الثاني,1,Al Sabt,السبت,AH,
20-10-0622,05-04-1,5,4,Rabīʿ al-thānī,رَبيع الثاني,1,Al Ahad,الاحد,AH,
21-10-0622,06-04-1,6,4,Rabīʿ al-thānī,رَبيع الثاني,1,Al Athnayn,الاثنين,AH,
22-10-0622,07-04-1,7,4,Rabīʿ al-thānī,رَبيع الثاني,1,Al Thalaata,الثلاثاء,AH,
23-10-0622,08-04-1,8,4,Rabīʿ al-thānī,رَبيع الثاني,1,Al Arba'a,الاربعاء,AH,
24-10-0622,09-04-1,9,4,Rabīʿ al-thānī,رَبيع الثاني,1,Al Khamees,الخميس,AH,
25-10-0622,10-04-1,10,4,Rabīʿ al-thānī,رَبيع الثاني,1,Al Juma'a,الجمعة,AH,
26-10-0622,11-04-1,11,4,Rabīʿ al-thānī,رَبيع الثاني,1,Al Sabt,السبت,AH,
